location,way_points,waypoints_location,waypoints_instruction
21,2,"[-94.828633, 29.267435]",Turn left.
21,3,"[-94.828898, 29.267939]",Turn right.
21,4,"[-94.827423, 29.268479]",Turn right onto 61st Street/Spur 342.
21,5,"[-94.826267, 29.266513]",Turn left onto Seawall Boulevard.
21,6,"[-94.825407, 29.267035]",Turn left.
21,7,"[-94.825642, 29.267483]",Your destination is on the right.
22,0,"[-94.825642, 29.267483]",Drive northwest.
22,1,"[-94.82576, 29.26771]",Turn right.
22,2,"[-94.825589, 29.267778]",Turn right.
22,3,"[-94.825242, 29.267136]",Turn left onto Seawall Boulevard.
22,4,"[-94.820244, 29.270208]",Turn left.
22,5,"[-94.820475, 29.270623]",Your destination is on the right.
24,0,"[-94.820453, 29.270939]",Drive west.
24,1,"[-94.82058, 29.270909]",Turn left.
24,2,"[-94.820244, 29.270208]",Turn left onto Seawall Boulevard.
24,3,"[-94.818956, 29.270996]",Turn left onto Fort Crockett Boulevard.
24,4,"[-94.81852, 29.272925]",Your destination is on the right.
25,0,"[-94.81852, 29.272925]",Drive east on Fort Crockett Boulevard.
25,1,"[-94.818463, 29.272941]",Your destination is on the right.
26,0,"[-94.818463, 29.272941]",Drive north on Fort Crockett Boulevard.
26,1,"[-94.818463, 29.272941]",Your destination is on the right.
27,0,"[-94.818463, 29.272941]",Drive east on Fort Crockett Boulevard.
27,1,"[-94.817473, 29.273218]",Turn right.
27,2,"[-94.81722, 29.272445]",Your destination is on the right.
28,0,"[-94.81722, 29.272445]",Drive south.
28,1,"[-94.817116, 29.272129]",Turn left.
28,2,"[-94.816614, 29.272344]",Your destination is on the left.
29,0,"[-94.816614, 29.272344]",Drive northeast.
29,1,"[-94.816203, 29.272517]",Turn left.
29,2,"[-94.816314, 29.272811]",Your destination is on the left.
30,0,"[-94.816314, 29.272811]",Drive east.
30,1,"[-94.816109, 29.272861]",Turn right.
30,2,"[-94.816067, 29.272743]",Turn left.
30,3,"[-94.815633, 29.272847]",Turn left.
30,4,"[-94.815811, 29.273371]",Your destination is on the right.
31,0,"[-94.815811, 29.273371]",Drive north.
31,1,"[-94.816145, 29.274021]",Turn right onto Fort Crockett Boulevard.
