location,way_points,waypoints_location,waypoints_instruction
108,1,"[-94.794231, 29.306718]",Turn right onto Tremont Avenue - 23rd Street.
108,2,"[-94.794185, 29.306579]",Your destination is on the left.
109,0,"[-94.794185, 29.306579]",Drive south on Tremont Avenue - 23rd Street.
109,1,"[-94.794087, 29.306285]",Turn right onto Mechanic Street - Avenue C.
109,2,"[-94.794648, 29.306137]",Your destination is on the left.
110,0,"[-94.794648, 29.306137]",Drive west on Mechanic Street - Avenue C.
110,1,"[-94.794735, 29.306113]",Your destination is on the right.
111,0,"[-94.794735, 29.306113]",Drive west on Mechanic Street - Avenue C.
111,1,"[-94.795232, 29.305982]",Turn left onto Mitchell Avenue - 24th Street.
111,2,"[-94.794793, 29.304688]",Turn right.
111,3,"[-94.795166, 29.30459]",Your destination is on the left.
112,0,"[-94.795166, 29.30459]",Drive west.
112,1,"[-94.795776, 29.304429]",Your destination is on the right.
113,0,"[-94.795776, 29.304429]",Drive west.
113,1,"[-94.795935, 29.304387]",Turn right onto Rosenberg Avenue - 25th Street.
113,2,"[-94.796081, 29.304815]",Turn left onto Market Street - Avenue D.
113,3,"[-94.79877, 29.304111]",Your destination is on the right.
114,0,"[-94.79877, 29.304111]",Drive west on Market Street - Avenue D.
114,1,"[-94.799028, 29.304044]",Turn left.
114,2,"[-94.798973, 29.303881]",Your destination is on the left.
115,0,"[-94.798973, 29.303881]",Drive south.
115,1,"[-94.79888, 29.303608]",Turn right.
115,2,"[-94.799476, 29.303444]",Turn right onto 28th Street.
115,3,"[-94.799626, 29.303889]",Turn right onto Market Street - Avenue D.
115,4,"[-94.799475, 29.303928]",Your destination is on the left.
116,0,"[-94.799475, 29.303928]",Drive east on Market Street - Avenue D.
116,1,"[-94.798484, 29.304186]",Turn left onto 27th Street.
116,2,"[-94.798628, 29.304612]",Turn left.
116,3,"[-94.799466, 29.304399]",Your destination is on the left.
117,0,"[-94.799466, 29.304399]",Drive west.
117,1,"[-94.799769, 29.304311]",Turn left onto 28th Street.
117,2,"[-94.799626, 29.303889]",Turn right onto Market Street - Avenue D.
117,3,"[-94.800763, 29.303593]",Turn left onto Martin Luther King Boulevard - 29th Street.
117,4,"[-94.798982, 29.298361]",Turn right onto Broadway - Avenue J/TX 87.
117,5,"[-94.802413, 29.297464]",Turn right onto 32nd Street.
117,6,"[-94.802464, 29.297618]",Turn left.
117,7,"[-94.802594, 29.297584]",Your destination is on the right.
118,0,"[-94.802594, 29.297584]",Drive west.
118,1,"[-94.802809, 29.297641]",Make a left U-turn.
118,2,"[-94.802464, 29.297618]",Turn right onto 32nd Street.
118,3,"[-94.802413, 29.297464]",Turn right onto Broadway - Avenue J/TX 87.
118,4,"[-94.80469, 29.296865]",Make a left U-turn at 34th Street to stay on Broadway - Avenue J/TX 87.
118,5,"[-94.803971, 29.296839]",Turn right.
118,6,"[-94.803747, 29.296684]",You have arrived at your destination.
120,0,"[-94.806031, 29.289193]",Drive west.
120,1,"[-94.80836, 29.288585]",Your destination is on the right.
121,0,"[-94.80836, 29.288585]",Drive west.
121,1,"[-94.810392, 29.288039]",Turn left onto Jack Johnson Boulevard - 41st Street.
121,2,"[-94.808991, 29.283973]",Your destination is on the left.
122,0,"[-94.808991, 29.283973]",Drive south on Jack Johnson Boulevard - 41st Street.
122,1,"[-94.808165, 29.281516]",Turn right onto Avenue S.
122,2,"[-94.810743, 29.280838]",Your destination is on the right.
123,0,"[-94.810743, 29.280838]",Drive west on Avenue S.
123,1,"[-94.837667, 29.272804]",Bear right onto Jones Drive.
123,2,"[-94.848802, 29.267623]",Turn right onto Hope Boulevard.
123,3,"[-94.852449, 29.272912]",Turn right.
123,4,"[-94.852019, 29.273801]",Turn left.
123,5,"[-94.852114, 29.273836]",Turn left.
123,6,"[-94.852238, 29.273577]",Your destination is on the right.
