Original_Index,Unnamed: 0,Name,Longitude,Latitude,Daily_Pickup_Totes,Weekly_Dropoff_Totes,user_ratings_total,category,rating,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,location_type,pickup_type,id,Bike Aggregation Point,Cumulative_Distance,Truck_Load
175,226,,-94.76679385290824,29.306890391999296,1,0,,,,,,,,,,,,,outdoor,Truck,3005.0,,3,71
176,227,,-94.767950723184,29.306065117409027,1,0,,,,,,,,,,,,,outdoor,Truck,3006.0,,3,72
177,228,,-94.7692474874237,29.305082322225285,1,0,,,,,,,,,,,,,outdoor,Truck,3007.0,,3,73
178,229,,-94.77754696577183,29.298333179256616,1,0,,,,,,,,,,,,,outdoor,Truck,3008.0,,3,74
179,230,,-94.8082561071602,29.27677205068795,1,0,,,,,,,,,,,,,outdoor,Truck,3009.0,,3,75
180,231,,-94.80526213325668,29.278482396580216,1,0,,,,,,,,,,,,,outdoor,Truck,3010.0,,3,76
181,232,,-94.80236790400106,29.28038269046843,1,0,,,,,,,,,,,,,outdoor,Truck,3011.0,,3,77
182,233,,-94.79867731012496,29.282876114591787,1,0,,,,,,,,,,,,,outdoor,Truck,3012.0,,3,78
183,234,,-94.79493642483013,29.28506169914705,1,0,,,,,,,,,,,,,outdoor,Truck,3013.0,,3,79
184,235,,-94.79283633899044,29.28645386043989,1,0,,,,,,,,,,,,,outdoor,Truck,3014.0,,3,80
185,236,,-94.78918032046477,29.289013989903104,1,0,,,,,,,,,,,,,outdoor,Truck,3015.0,,3,81
186,237,,-94.7855794129526,29.291804838061307,1,0,,,,,,,,,,,,,outdoor,Truck,3016.0,,3,82
187,238,,-94.78168618656736,29.29478947063417,1,0,,,,,,,,,,,,,outdoor,Truck,3017.0,,3,83
188,239,,-94.8124062388772,29.27425339937392,1,0,,,,,,,,,,,,,outdoor,Truck,3018.0,,3,84
189,240,,-94.81618144806576,29.27207251896977,1,0,,,,,,,,,,,,,outdoor,Truck,3019.0,,3,85
190,241,,-94.81987694535516,29.270206728176856,1,0,,,,,,,,,,,,,outdoor,Truck,3020.0,,3,86
191,242,,-94.8262520532695,29.266291220605424,1,0,,,,,,,,,,,,,outdoor,Truck,3021.0,,3,87
192,243,,-94.83155513372616,29.263467832281307,1,0,,,,,,,,,,,,,outdoor,Truck,3022.0,,3,88
193,244,,-94.841316614341,29.2581766503582,1,0,,,,,,,,,,,,,outdoor,Truck,3023.0,,3,89
194,245,,-94.8361248635164,29.260958542086108,1,0,,,,,,,,,,,,,outdoor,Truck,3024.0,,3,90
195,246,,-94.8738468189325,29.2405914297026,1,0,,,,,,,,,,,,,outdoor,Truck,3025.0,,3,91
196,247,,-94.79551215028134,29.292771721098887,1,0,,,,,,,,,,,,,outdoor,Truck,3026.0,,3,92
197,248,,-94.84125378845,29.2724794692196,1,0,,,,,,,,,,,,,outdoor,Truck,3027.0,,3,93
198,249,,-94.84864400281596,29.2601984620952,1,0,,,,,,,,,,,,,outdoor,Truck,3028.0,,3,94
199,250,,-94.77960042237318,29.33442883012103,1,0,,,,,,,,,,,,,outdoor,Truck,3029.0,,3,95
200,251,,-94.87811761972976,29.23872499917516,1,0,,,,,,,,,,,,,outdoor,Truck,3030.0,,3,96
201,252,,-94.89604294830498,29.2277225320811,1,0,,,,,,,,,,,,,outdoor,Truck,3031.0,,3,97
202,253,,-94.9278228922708,29.210431153328607,1,0,,,,,,,,,,,,,outdoor,Truck,3032.0,,3,98
203,254,,-94.95403603262106,29.19352527673134,1,0,,,,,,,,,,,,,outdoor,Truck,3033.0,,3,99
204,255,,-94.95608616231785,29.196347559108165,1,0,,,,,,,,,,,,,outdoor,Truck,3034.0,,3,100
0,0,Moody Gardens,-94.8523,29.2736,0,0,,,,,,,,,,,,,depot,Truck,,,258,100
